imdb_id,found,tmdb_id,tmdb_title,release_date,type,actually_released
tt10337388,True,89719,Joko & Klaas gegen ProSieben,2019-05-28,tv,True
tt10389000,True,114910,Even tot Hier,2019-03-16,tv,True
tt10225276,True,95676,La Isla de las Tentaciones,2020-01-09,tv,True
tt10274478,True,89214,The Fault is Cabral's,2016-07-19,tv,True
tt10601684,True,104465,John and Lisa's Weekend Kitchen,2019-03-31,tv,True
tt10745342,True,90368,The Masked Singer,2019-06-27,tv,True
tt10873784,True,94471,Chateau Meiland,2019-05-20,tv,True
tt10952354,True,218261,Newscast,2020-02-06,tv,True
tt10928084,True,221998,Papo de Segunda,2015-06-08,tv,True
tt10960302,True,94759,Klassen,2019-09-06,tv,True
tt11043554,True,95275,NWA Powerrr,2019-10-08,tv,True
tt11593888,True,121798,Trucker Babes,2017-07-09,tv,True
tt11653906,True,115796,Game of Destiny,2020-01-24,tv,True
tt11434028,True,118392,bald and bankrupt,2018-12-06,tv,True
tt11945412,True,112556,Svenska fall,2018-08-30,tv,True
tt11994042,True,277654,Rikospaikka,2017-02-01,tv,True
tt12020444,True,116865,Joseph & Lindsey,2020-03-24,tv,True
tt12378370,True,105546,Isto é Gozar Com Quem Trabalha,2020-03-01,tv,True
tt12211774,True,102740,Cápák között,2019-02-18,tv,True
tt12522276,True,87357,Gliniarze,2016-08-29,tv,True
tt12698510,True,106914,Die Carolin Kebekus Show,2020-05-21,tv,True
tt12551678,True,111958,Are You Scared?,2020-06-19,tv,True
tt12887524,True,251078,Dead Talk Live,2020-04-25,tv,True
tt13093364,True,68661,Chefi la cuțite,2016-03-07,tv,True
tt13085650,True,108466,All Against All,2020-08-31,tv,True
tt13218362,True,94653,Taskmaster Norway,2019-10-17,tv,True
tt13193312,True,111953,Too Many Spirits,2020-10-08,tv,True
tt13352178,True,121922,Hello Kitty and Friends Supercute Adventures,2020-10-26,tv,True
tt13224534,True,118627,deep und deutlich,2020-10-02,tv,True
tt13563720,True,72090,Åsted Norge,2016-01-25,tv,True
tt13280542,True,122902,Dimension 20's Adventuring Party,2020-04-08,tv,True
tt13648914,True,117057,Wer stiehlt mir die Show?,2021-01-05,tv,True
tt13471320,True,133663,Love Your Weekend with Alan Titchmarsh,2020-09-06,tv,True
tt13729210,True,121190,Radio Mileva,2021-03-09,tv,True
tt13809880,True,116260,Susan Calman's Grand Day Out,2021-01-08,tv,True
tt13972228,True,116133,Go Go Squid 2: Dt.Appledog's Time,2021-02-04,tv,True
tt14271900,True,121878,De Geknipte Gast,2020-02-04,tv,True
tt14167852,True,118274,Sweet The World Sugar,2021-02-13,tv,True
tt14344360,True,124887,The Cook Up with Adam Liaw,2021-04-19,tv,True
tt14435292,True,96665,Kees van der Spek: Oplichters aangepakt,2019-10-29,tv,True
tt14353828,True,272036,Katy Tur Reports,2024-09-20,tv,True
tt14595212,True,128377,Ryan's World Specials presented by pocket.watch,2019-06-15,tv,True
tt14760316,True,132223,"Yes, Chef!",2021-06-17,tv,True
tt14728224,True,203299,A Captain's Log,2021-06-30,tv,True
tt14564802,True,128288,Ermittler!,2018-06-16,tv,True
tt14786934,True,240740,Scarpetta,2026-03-11,tv,True
tt14782352,True,99939,Casualty 24/7: Every Second Counts,2018-09-19,tv,True
tt15303180,True,136166,Lang Leve de Liefde,2020-01-20,tv,True
tt15375572,True,115939,Media Inside,2021-01-03,tv,True
tt15385850,True,133346,The Flight Attendants,2021-09-06,tv,True
tt15407348,True,137059,MaiThink X – Die Show,2021-10-24,tv,True
tt15553638,True,130887,The Hundred with Andy Lee,2021-08-10,tv,True
tt15569214,True,198044,GENO Kids - Cartoons & Nursery Rhymes,2021-07-15,tv,True
tt15521024,True,133781,Motorway Cops: Catching Britain's Speeders,2021-09-20,tv,True
tt16636212,True,157271,Godparents,2022-02-07,tv,True
tt16960858,True,208992,Supa Strikas - Rookie Season,2021-12-03,tv,True
tt17040736,True,155853,Yalnizim Mesut Bey,2022-01-15,tv,True
